"id","k3","k4","k5"
"2203",0.28,1.84,6.14
"2204",0.84,4.08,3.98
"2205",4.6,4.74,7.74
"2206",3.1,4.22,5.48
"2207",3.34,4.98,5.1
"2208",2.06,3.18,6.66
"2209",1.98,1.66,2.18
"2210",0.66,0.62,3.08
"2211",0.66,4.58,5.06
"2212",1.54,1.66,7.84
"2213",1.1,5.72,6.68
"2214",0.74,3.56,4.2
"2215",3.08,1.96,4.36
"2216",4.98,7.72,1.78
"2217",3.14,4.3,3.1
"2218",4.02,3.16,4.34
"2219",1.16,1.82,7.9
"2220",3.92,5.1,4.1
"2221",5,8.18,9.14
"2222",0.38,1.5,2.34
"2223",0.6,0.64,9.56
"2224",4.12,3.68,6.42
"2225",6.98,3.42,1.94
"2226",3.6,3.8,5.94
"2227",2.86,2.52,6.22
"2228",2.04,3.38,7.7
"2229",1.72,2.7,3.24
"2230",1.82,1.7,3.7
"2231",1.54,1.8,4.38
"2232",1.4,2.04,1.22
"2233",0.76,2.66,3.18
"2234",5.04,2.06,7.14
"2235",5.02,4.28,7.52
"2236",2.04,2.04,2.66
"2237",3.3,0.74,1.22
"2238",1.68,3.4,7
"2239",4.52,2.06,4.26
"2240",3.06,2.7,5.18
"2241",5.34,1.7,2.76
"2242",1.22,2.94,1.58
"2243",5.98,1.02,0.72
"2244",3.8,3.56,3.04
"2245",2.8,4.12,4.96
"2246",8.76,2.22,5.02
"2247",3.1,6.9,7.1
"2248",3.92,2.6,1.18
"2249",1.8,2.62,4.68
"2250",0.54,3.28,5.7
"2251",1.54,5.76,1.08
"2252",1.56,6.2,3
"2253",5.8,3.8,2.66
"2254",2.14,2.62,4.3
"2255",1.32,3.22,0.98
"2256",0.96,4.42,5.2
"2257",1.74,2.66,7.78
"2258",4.96,3.9,4.2
"2259",6.14,0.48,5.18
"2260",4.2,3.24,2.12
"2261",4.74,2.44,1.38
"2262",2.04,3.48,7.16
"2263",2.9,6.94,2.94
"2264",0.44,7.58,7.82
"2265",1.42,3.1,0.7
"2266",0.72,3.22,6.5
"2267",6.78,0.76,5.12
"2268",2.12,2.34,5.96
"2269",3.54,2.86,0.56
"2270",7.08,6.2,8.54
"2271",1.88,2.18,4.08
"2272",4.08,7.34,3.94
"2273",3.9,0.26,11.18
"2274",3.48,5.04,0.46
"2275",1.68,2.98,2.92
"2276",0.26,4.46,3.12
"2277",1.78,0.86,2.84
"2278",2.74,0.98,9.4
"2279",5.2,2.36,4.32
"2280",1.54,2.2,1.18
"2281",2.1,7.92,3.32
"2282",1.26,1.84,12.68
"2283",2.98,2.04,1.72
"2284",0.6,3.08,1.88
"2285",2.78,3.54,3.4
"2286",2.14,6.68,4.46
"2287",0.82,4.62,4.68
"2288",1.66,4.92,4.66
"2289",1.16,4.1,8.6
"2290",3.48,5.66,5.58
"2291",6.1,8.22,2.78
"2292",5.42,3.98,4.1
"2293",5.04,5.66,2.42
"2294",4.1,4.62,5.22
"2295",1.78,2.38,2.82
"2296",5.3,2.16,2.54
"2297",5.64,1.42,4.18
"2298",3.24,3.02,3.86
"2299",4.76,8.28,3.98
"2300",2.38,9.14,4.68
"2301",0.9,0.74,4.36
"2302",2.92,6.02,4.94
"2303",2.9,1.88,2.06
"2304",0.6,5.38,8.52
"2305",2.5,1.8,4.6
"2306",3.5,1.8,2.96
"2307",2.44,5.8,6.08
"2308",4.3,7.2,3.48
"2309",1.94,1.58,2.58
"2310",1.08,2.82,2
"2311",2.02,4.88,1.88
"2312",9.3,5.9,4.86
"2313",7.82,3.6,7.76
"2314",2.2,1.8,2.8
"2315",3.42,7.6,3
"2316",1.66,9.98,2.18
"2317",4.24,1.72,1.18
"2318",3.02,1.36,2.74
"2319",8.76,11.3,3.68
"2320",0.72,5.5,2.56
"2321",5.78,8.78,6.54
"2322",3.76,2.46,3.44
"2323",1,3.74,4.24
"2324",0.54,1.56,5.3
"2325",6.74,4.06,2.84
"2326",1.62,3.08,3.38
"2327",3.08,2.68,2.88
"2328",2.84,6.82,3.3
"2329",6.54,2.12,4.34
"2330",1.96,11.54,5.8
"2331",2.98,8.28,1.4
"2332",3.46,1.78,2.26
"2333",6.1,3.64,2.8
"2334",2.2,1.82,5
"2335",5.94,4.52,1.34
"2336",3.08,4.32,5.36
"2337",1.96,7.26,1.1
"2338",2.1,2.12,3.52
"2339",4.82,5.94,1.6
"2340",3.92,2.5,1.26
"2341",0.36,1.18,2.76
"2342",1.16,4.04,4.36
"2343",2.98,2.24,8.48
"2344",1.7,2.74,7.4
"2345",4.06,4.86,4.22
"2346",0.52,5.06,12.02
"2347",3.9,3.28,3.28
"2348",2.04,8.3,6.46
"2349",0.86,5.12,1.98
"2350",1.06,6.58,0.74
"2351",2.6,5.18,4.48
"2352",1.36,7,3.52
"2353",0.84,7.02,3.74
"2354",3.76,1.86,4.06
"2355",4.5,0.5,1.94
"2356",0.74,3.74,5.54
"2357",1.14,0.7,4.96
"2358",3.8,4.24,3.78
"2359",7.38,2.78,12.56
"2360",0.72,8.3,5.26
"2361",1.9,3.16,1.72
"2362",3.06,4.1,6.44
"2363",1.1,3.42,3.28
"2364",2.2,2.28,1.32
"2365",2.36,3.92,2.68
"2366",1.06,7.26,3.64
"2367",3.72,3.92,5
"2368",2.66,1.38,2.28
"2369",3.3,3.6,4.72
"2370",1.14,2.8,2.98
"2371",3.34,4.32,0.78
"2372",0.46,5.56,3.98
"2373",3.12,2.72,6.82
"2374",0.52,0.36,6
"2375",1.7,5.66,6.14
"2376",2.3,4.08,5.58
"2377",7.82,8.68,2.22
"2378",2.28,2.3,2.26
"2379",4.34,1.84,5.04
"2380",8.2,4.74,4.14
"2381",3.18,0.7,2.02
"2382",8.92,1.88,7.9
"2383",9.7,4.22,3.38
"2384",8.28,2.38,8.08
"2385",3.36,3.48,3.98
"2386",0.52,3.94,4.72
"2387",4.42,3.38,7.14
"2388",2.34,3.34,2.96
"2389",1.74,5.82,6.24
"2390",3.96,4.42,4.76
"2391",3.56,1.84,2.28
"2392",0.82,5.86,5.06
"2393",0.62,2.82,8.38
"2394",6.84,3.3,4.08
"2395",3.22,0.8,4.44
"2396",4.06,2.04,2.42
"2397",3.36,6.16,1.98
"2398",2.76,1.1,5.5
"2399",1.64,2.44,7.2
"2400",4.78,2.04,2.54
"2401",3.42,3.52,2.38
"2402",1,7.74,2.06
"2403",1.56,9.8,4.32
"2404",2.52,3.92,4.58
"2405",1.8,4.76,2.2
"2406",3.08,9.08,3.18
"2407",3.22,3.68,4.48
"2408",3.98,4.78,3.04
"2409",5.18,5.6,7.82
"2410",4.74,2.76,5.04
"2411",1.2,5.18,0.96
"2412",2.16,4.76,6.52
"2413",0.52,6.12,4.56
"2414",8.46,2.06,3.68
"2415",6.92,11.5,3.76
"2416",0.62,2.76,6.26
"2417",2.62,1.64,5.76
"2418",1.72,0.96,6.24
"2419",5.88,3.34,5.04
"2420",2.94,7.02,3.12
"2421",3.32,4.18,3.18
"2422",7.4,2.24,4.52
"2423",3.9,2.8,5.44
"2424",2,1.78,6.16
"2425",1.8,10.2,4.48
"2426",0.62,1.76,3.26
"2427",7.8,3.18,5.66
"2428",1.66,8.3,4.84
"2429",2.5,5.06,3.34
"2430",1.4,6.38,3.56
"2431",1.64,0.5,7.4
"2432",1,1.8,4.28
"2433",3.88,3.4,10.32
"2434",5.02,10.82,5.88
"2435",1,5.14,2.6
"2436",4.56,1.16,1.44
"2437",2.52,0.42,1.62
"2438",0.62,2.12,1.64
"2439",2.64,6.28,6.46
"2440",2.14,1.96,1
"2441",2.68,1.26,1.26
"2442",3.42,1.24,6.94
"2443",4.6,2.56,1.68
"2444",1.68,2.84,1.34
"2445",3.24,2.36,3.12
"2446",3.96,5.34,9.12
"2447",6.06,3.14,4.8
"2448",1.08,6.38,5.86
"2449",3.52,8.16,5.18
"2450",2.84,1.56,4.12
"2451",3.24,2.36,3.76
"2452",7.98,7.24,1.44
"2453",0.9,5.7,2
"2454",4.92,2.36,4.36
"2455",1.18,2.32,3.52
"2456",4.86,5.68,4.48
"2457",0.58,4.68,1.84
"2458",3.96,1.88,1.82
"2459",3.72,4.06,8.62
"2460",3.4,3.76,2.74
"2461",2.82,0.44,2.52
"2462",1.62,2.32,3.94
"2463",2.92,2.1,7.18
"2464",6.58,1.66,10.94
"2465",6.2,4.36,4
"2466",7.08,9.2,2.6
"2467",2.76,2.48,5.76
"2468",9.02,3.4,3.08
"2469",1.72,4.46,1.42
"2470",3.88,0.76,10.58
"2471",2.86,0.36,2.86
"2472",2.7,2.8,1.18
"2473",8.94,3.18,2.94
"2474",0.76,2.82,4.1
"2475",0.44,3.08,3.94
"2476",1.72,2.32,4.94
"2477",0.6,10.06,1.2
"2478",3.42,4.28,6.4
"2479",3.66,3.72,8.84
"2480",2.28,3.48,2.48
"2481",3.3,1.98,1.76
"2482",1.92,2.48,2.96
"2483",0.6,7.3,8.78
"2484",3.42,6.98,1.98
"2485",1.1,9.32,3.74
"2486",7.92,4.78,3.84
"2487",1.48,2.48,1.96
"2488",5.7,2.34,3.34
"2489",2.68,3.5,1.24
"2490",3.68,1.08,6.7
"2491",3.16,7.42,7.62
"2492",2.3,3.74,8.7
"2493",2.1,3.54,3.98
"2494",2.52,8.54,2.22
"2495",4.36,1,4.62
"2496",1.94,5.92,2.7
"2497",12.98,4.5,3.44
"2498",0.04,3.56,6.24
"2499",1.66,8.7,4.8
"2500",2.86,6.36,4.7
"2501",3.48,7.78,1.98
"2502",5.02,2.7,5.58
"2503",2.3,4.74,3.2
"2504",1.52,8.14,2.52
"2505",3.96,8.32,7.2
"2506",1.54,9.9,2.46
"2507",2.98,0.76,4.12
"2508",2.62,9.94,6.14
"2509",5.5,3.92,2.72
"2510",4.06,2.66,4.4
"2511",0.22,1.3,3.56
"2512",0.2,4.2,8.3
"2513",4.42,0.52,7.84
"2514",0.84,3.06,1.4
"2515",1.14,2.58,5.66
"2516",4.04,4.64,4.68
"2517",4.86,5.04,3.88
"2518",1.98,2.86,1.5
"2519",3.94,2.5,2.4
"2520",5.24,2.3,6.32
"2521",2.04,1.32,10.06
"2522",3.36,3.66,2.96
"2523",1.44,3.9,9.42
"2524",1.22,4.2,1.52
"2525",3,3.24,5.56
"2526",2.84,2.36,1.1
"2527",4.66,5.48,4.22
"2528",5.22,6.34,10.3
"2529",0.72,4.22,7.66
"2530",7.62,4.16,5.26
"2531",1.96,5.24,3.96
"2532",1.2,7.96,4.88
"2533",6.34,3.58,3.52
"2534",0.28,3,8.86
"2535",0.66,5.06,6.8
"2536",0.4,2.08,4.38
"2537",1.46,1.18,6.32
"2538",3.1,1.22,3.6
"2539",2.74,0.94,4.34
"2540",5.32,3.22,5.96
"2541",0.44,2.66,8
"2542",7.46,6.8,1.72
"2543",11.46,3.72,3.22
"2544",4.02,2.92,1.4
"2545",3.18,1,4.62
"2546",4.26,6.22,3.34
"2547",1.86,3.06,1.9
"2548",1.32,0.3,2.48
"2549",2.84,6.72,4.58
"2550",2.28,3.22,5.24
"2551",3.4,6.92,2.52
"2552",2.44,4.74,2.26
"2553",2.04,2.78,3.78
"2554",5.34,5.96,14.16
"2555",4.68,5.64,9
"2556",4.92,1.5,1.88
"2557",1.14,0.92,9.7
"2558",0.56,7.74,3.34
"2559",0.44,4.28,4.54
"2560",6.26,5.02,4.54
"2561",2.5,1.52,5.1
"2562",4.46,2.16,7.34
"2563",3.74,0.42,1.74
"2564",1.5,2.5,3.58
"2565",4.06,2.34,3.08
"2566",4.84,4.1,8.62
"2567",7.74,4.16,3.68
"2568",5.56,2.9,4.42
"2569",2.68,4.34,5.12
"2570",1.12,1.4,5
"2571",3.18,3.94,4.6
"2572",4.9,2.84,3.66
"2573",4.84,3.82,1.4
"2574",8.58,1.5,2.8
"2575",4.26,4.08,2.24
"2576",6.12,0.44,6.32
"2577",2.14,5.8,3.4
"2578",0.9,1.06,10.26
"2579",0.6,4.72,4.64
"2580",9.84,2.52,1.96
"2581",1.9,3.78,2.52
"2582",1.38,6.16,4.72
"2583",2.66,4.06,3.14
"2584",5.68,3.16,7.72
"2585",1.96,1.3,5.26
"2586",5.88,2.2,4.26
"2587",0.52,7.14,2.2
"2588",3.1,2.96,4.78
"2589",2.9,12.56,4.3
"2590",6.74,4.9,1.48
"2591",1.5,7.52,1.1
"2592",4.38,4.74,1.84
"2593",1.38,1.48,2.86
"2594",6.06,0.72,8.16
"2595",2.96,5.28,7.64
"2596",3.72,2.04,10.08
"2597",1.98,4.08,5.42
"2598",0.62,1.3,6.86
"2599",5.36,2.6,2.52
"2600",0.94,4.84,5.58
"2601",3.86,5.88,5.42
"2602",2.1,1.24,0.32
"2603",3.1,1.64,11.96
"2604",2,4.9,3.7
"2605",1.32,8.06,1.58
"2606",3.42,3.98,3.78
"2607",1.16,2.22,3.44
"2608",5.8,5.54,3.94
"2609",1.32,3.48,8.9
"2610",0.36,3.84,3.12
"2611",1.48,3.22,4.34
"2612",1.5,1.04,1.98
"2613",4.32,1.68,5.68
"2614",2.02,6.7,1
"2615",3.06,3.24,3.22
"2616",0.52,1.74,2.22
"2617",0.82,5.4,7.84
"2618",1.94,1.68,4.42
"2619",1.08,1.08,7.34
"2620",2.28,3.32,2.62
"2621",3.46,4.8,5.42
"2622",4.38,3.46,2.92
"2623",0.52,2.94,2.52
"2624",2.9,4.04,4.16
"2625",8.68,2.88,1.76
"2626",12.72,2.46,3.78
"2627",1.34,6.2,5.58
"2628",2.36,1.88,5.7
"2629",0.6,5.56,1.96
"2630",3.1,1.76,5.9
"2631",0.78,2.92,1.68
"2632",7.4,2.3,5.66
"2633",0.9,2.78,3.22
"2634",4.58,1.22,5.12
"2635",0.58,8.88,4.54
"2636",2.58,2.44,1.9
"2637",3.18,1.66,2.8
"2638",2.1,2.98,2.72
"2639",0.76,3.32,3.06
"2640",9.46,5.16,6.74
"2641",7.96,6.28,2.58
"2642",1.82,3.1,4.12
"2643",3.26,5.18,3.4
"2644",3.72,2.54,4.22
"2645",1.9,3.22,2.14
"2646",2.78,1.16,6.04
"2647",2.06,3.4,1.52
"2648",3.04,1.08,3.02
"2649",1.82,1.8,4.96
"2650",4.92,2.22,1.66
"2651",2.86,5.56,7.64
"2652",1.9,1.72,3.6
"2653",4.44,2.46,5.02
"2654",0.3,6.04,5.5
"2655",2.04,3.22,11.04
"2656",2.82,10.66,2.62
"2657",3.74,5.98,2.56
"2658",2.98,4.7,4.26
"2659",1.74,6.2,4.08
"2660",0.6,5.56,4.28
"2661",5.22,1.82,5.86
"2662",3.56,4.38,4.88
"2663",3,5.82,5.42
"2664",3.94,3.62,4.62
"2665",3.66,6.04,4.68
"2666",4.52,3.66,5.22
"2667",1.48,2.54,5.82
"2668",2.02,2.34,1.72
"2669",2.86,6.22,3.16
"2670",2.34,3.08,3.64
"2671",0.66,5.02,2.64
"2672",3.72,7.86,3.48
"2673",1.38,6.98,3.14
"2674",1.04,1.9,3.14
"2675",5.26,4.42,9.76
"2676",1.5,3.36,4.24
"2677",5.04,2.1,3.7
"2678",1.8,2.04,0.94
"2679",0.54,1,5.38
"2680",1.42,1.56,2.24
"2681",6.06,1.4,5.88
"2682",1.34,6.34,6.56
"2683",1.24,4.92,2.42
"2684",1.08,0.62,5.14
"2685",5.94,2.72,5.66
"2686",1.54,2.86,6.42
"2687",2.64,0.84,11.12
"2688",2.16,4.52,7.02
"2689",1.8,2.7,3.72
"2690",0.86,1.94,6.08
"2691",1.9,3.32,3.28
"2692",0.76,8.02,7.12
"2693",5.04,1.56,1.74
"2694",2.82,5.1,1.52
"2695",2.92,3.76,7.88
"2696",1.82,2.2,0.7
"2697",1.42,1.8,5.62
"2698",0.44,0.96,1.44
"2699",0.44,1.24,2.48
"2700",1.58,2.84,11.66
"2701",2.26,2.28,3.8
"2702",2.38,10.22,4.54
"2703",4.28,2.18,5.44
"2704",1.68,2.28,3.28
"2705",5.66,1.56,1.9
"2706",6.54,2,5.18
"2707",5.86,3.62,0.94
"2708",2.36,1.78,5.04
"2709",7.08,4.68,4.56
"2710",2.28,1.5,4.2
"2711",1.3,3.4,6.44
"2712",0.78,3.7,4.9
"2713",2.32,2.54,4.64
"2714",2.6,2.84,5.52
"2715",0.16,1.04,1.14
"2716",3.96,6.14,3.18
"2717",0.5,5.26,2.8
"2718",1.24,1.9,6.6
"2719",0.96,7.9,2.86
"2720",5.4,5.84,6.32
"2721",1.8,4.44,4.74
"2722",3.6,1.74,0.84
"2723",11.2,7.9,4.02
"2724",2.94,4.28,1.8
"2725",0.66,2.3,8.86
"2726",3.58,3.32,2.96
"2727",3.56,1.88,2.28
"2728",2.16,2.94,2.44
"2729",1.72,3.5,9.9
"2730",1.24,4.18,1.78
"2731",1.68,4.46,5.18
"2732",0.32,4.94,2.22
"2733",3.92,0.7,4.64
"2734",2.1,6.68,4.46
"2735",1.9,1.42,3.8
"2736",5.8,3.42,3.58
"2737",2.2,1.54,5.26
"2738",3.66,2.98,1.58
"2739",2.48,5.18,8.06
"2740",1.7,0.8,4.3
"2741",4.78,5.76,5.2
"2742",3.5,7.24,3.1
"2743",1.68,4.78,6.06
"2744",3.62,5.34,2.3
"2745",12.6,0.72,3.2
"2746",3.7,0.94,2.88
"2747",3.02,6.02,6.42
"2748",1.18,0.46,2.16
"2749",1.06,3.3,6.86
"2750",2.48,4.44,1.24
"2751",1.08,2.14,8.26
"2752",6.1,7,5.42
"2753",3.66,2.36,3.58
"2754",1.32,5.1,1.1
"2755",3.76,3.62,2.84
"2756",3.28,2.76,2.64
"2757",4.18,2.72,6.04
"2758",2.76,1.46,7.02
"2759",2.14,1.48,3.86
"2760",5.76,3.14,2.24
"2761",5,2.82,2.42
"2762",3.16,1.68,8.28
"2763",1.1,2.14,4.86
"2764",3.14,4.18,6.6
"2765",0.58,2,5.02
"2766",5.8,7.1,10.92
"2767",6.38,6.84,3.54
"2768",2.46,3.08,2.32
"2769",1.12,1.14,1.34
"2770",11.96,4.28,3.28
"2771",2.78,5.32,3.02
"2772",5.62,1.64,3.14
"2773",0.34,5.4,2.32
"2774",4.58,6.38,1.62
"2775",0.94,0.32,6.44
"2776",1.66,2.28,2.9
"2777",3.44,5.5,1.56
"2778",4.36,4.76,4.62
"2779",1.96,3.42,3.2
"2780",5.62,4.16,5.02
"2781",2.26,2.2,9.78
"2782",0.84,7.16,5.42
"2783",4.76,2.86,5.7
"2784",2.68,4.3,1.74
"2785",1.42,2.06,3.1
"2786",1.26,0.7,1
"2787",1.36,0.86,3.88
"2788",3.8,3.92,2.12
"2789",5.28,1.66,6.26
"2790",4.84,7.18,6.52
"2791",1.76,9.34,4.76
"2792",2.94,2.98,3.64
"2793",1.6,0.72,1.1
"2794",1.24,5.04,9.06
"2795",4.14,3.36,4.28
"2796",5.06,2.5,9.16
"2797",1.02,7.14,1.9
"2798",0.92,2.26,2.64
"2799",3.22,7.76,2.52
"2800",0.6,2.2,1.82
"2801",4.74,4.22,5.72
"2802",2.28,1.82,7.62
"2803",1.16,0.78,7
"2804",2.1,3.28,3.32
"2805",0.44,1.34,2.24
"2806",3.4,5.32,2.84
"2807",1.86,2.44,5.66
"2808",4.3,4.54,3.6
"2809",2.88,2.36,3.84
"2810",3.24,2.22,2.1
"2811",4.32,1.16,2.78
"2812",5.32,4.1,1.24
"2813",3.28,4.12,2.8
"2814",4.68,5.94,4.18
"2815",1.38,3.7,3.42
"2816",0.96,6.98,3.84
"2817",1.98,0.96,5.58
"2818",1.92,1.26,2.96
"2819",3.02,3.32,4.4
"2820",4.12,1.96,1.6
"2821",2.74,3.18,2.6
"2822",1.96,5.04,7.28
"2823",0.48,5.88,0.62
"2824",3.62,3.28,4.44
"2825",1.7,4.46,3.62
"2826",3.4,3.72,1.6
"2827",2.62,3.08,5.7
"2828",2.98,6.06,5.72
"2829",0.84,5.58,6.64
"2830",6.34,7.88,4.5
"2831",3.28,3.18,4.98
"2832",1.04,2.38,3.26
"2833",1.88,0.88,2.7
"2834",2.76,3.06,3.68
"2835",2.78,1.66,1.2
"2836",1.14,6.3,7.12
"2837",2.02,5.36,11.76
"2838",5.32,5.2,2.92
"2839",3.48,0.48,3.1
"2840",2.84,2.04,1.72
"2841",2.22,3.3,2.32
"2842",5.34,0.84,3.5
"2843",4.24,1.72,11.06
"2844",2.46,1.02,4.98
"2845",4.2,6,6.26
"2846",2.68,2.74,4.04
"2847",4.38,5.7,2.98
"2848",2.34,2.94,4
"2849",0.14,1.42,1.6
"2850",1.56,5.06,3.14
"2851",5.54,3.64,1.96
"2852",4.12,3.1,8.64
"2853",0.5,3.9,3.72
"2854",1.08,0.52,3.54
"2855",4.5,2.66,6.94
"2856",1.7,5.16,2.22
"2857",2.2,4.68,3.5
"2858",0.92,8.86,6.04
"2859",1.84,1.88,2.36
"2860",4.54,3.7,4.72
"2861",4.62,0.88,2.32
"2862",3.24,0.42,11.92
"2863",1.26,0.66,4.82
"2864",4.04,2.22,5.5
"2865",4.78,1.64,1.48
"2866",1.42,6.56,7.08
"2867",2.52,15.8,0.62
"2868",1.3,2,9.8
"2869",0.16,2.84,2.48
"2870",0.2,4.72,5.32
"2871",4.84,4.76,11.02
"2872",1.32,3.5,7.04
"2873",4.4,5.68,10.18
"2874",1.96,3,7.44
"2875",2.16,2.22,4.36
"2876",0.6,6.06,5.12
"2877",4.12,3.66,6.3
"2878",8.58,3.62,2.58
"2879",1.86,1.9,6.08
"2880",2.76,9.58,1.36
"2881",3.22,3.28,4.4
"2882",2.28,3.86,1.6
"2883",0.6,6.4,3.1
"2884",4.22,1.22,2.36
"2885",2.52,8.18,4.38
"2886",3.36,0.94,4.12
"2887",1.02,1.04,3.72
"2888",6.46,4.92,4.3
"2889",4.92,5.18,6.32
"2890",1.66,6.2,5.36
"2891",1.36,5.3,5.36
"2892",2.24,4.56,0.92
"2893",2.02,1.7,6.32
"2894",0.6,3.5,6.9
"2895",1.08,1.24,3.04
"2896",0.54,3.12,14.02
"2897",2.42,3.04,3.14
"2898",5.28,2.7,6.78
"2899",1.18,5.24,5.36
"2900",4.78,5.26,3.3
"2901",2.94,2.68,4.02
"2902",3.64,2.54,2.52
"2903",5.28,2.38,2.44
"2904",6.08,3.3,1.98
"2905",1.26,3.4,2.66
"2906",4.84,10.32,2.32
"2907",8.36,10.04,4.72
"2908",4.52,1.82,3.68
"2909",3.32,4.6,3.2
"2910",3.08,3.36,0.84
"2911",5.64,2.3,3.2
"2912",6.34,0.68,3.22
"2913",5.3,3.94,2.8
"2914",1.46,0.66,8.22
"2915",3.24,2.98,5.98
"2916",2.7,7.52,6.18
"2917",1.86,6.32,5.72
"2918",3.38,1.14,5.92
"2919",1.34,7.48,8.24
"2920",1.32,2.18,4.56
"2921",4.62,3.96,4.72
"2922",1.84,2.52,8.9
"2923",2.2,3.38,3.76
"2924",3.56,3.24,13.54
"2925",3.32,7.58,5.1
"2926",0.44,0.98,6.38
"2927",5.1,3.72,2.14
"2928",1.46,6.62,0.96
"2929",3.46,6.14,15.24
"2930",8.02,2.76,2.08
"2931",3,4.68,2.48
"2932",5.98,4.38,4.26
"2933",4.38,0.94,2.82
"2934",3.18,5.82,5.52
"2935",0.84,1.44,5.14
"2936",5.72,2.88,2.8
"2937",1.5,7.88,2.38
"2938",3.66,7.64,7.72
"2939",4.44,0.54,5.04
"2940",6.06,1.52,4.88
"2941",1.84,2.66,2.74
"2942",5.46,4.06,4.72
"2943",2.38,4.28,8.64
"2944",2.52,10.62,4.12
"2945",2.12,4.82,4.28
"2946",5.5,2.44,3.64
"2947",2.22,1.8,2.26
"2948",0.44,5.3,2.84
"2949",3.12,10.66,4.4
"2950",1.8,4.68,5.68
"2951",3.06,2.06,9.2
"2952",4.76,1.4,1.06
"2953",0.66,4.38,6.76
"2954",8.36,6.14,8.78
"2955",4.02,2.82,5.08
"2956",0.42,5.96,3.78
"2957",5.58,6.84,1.64
"2958",4.2,0.6,2.92
"2959",3,6.58,13.98
"2960",2.58,1.82,1.94
"2961",3.46,1.56,4.06
"2962",4.7,2.68,7.82
"2963",2.7,4.04,7.24
"2964",0.46,8.62,6.4
"2965",1.22,7.26,2.14
"2966",5.72,2.48,14.06
"2967",2.44,2.2,3.48
"2968",3.56,1.98,6.64
"2969",0.42,1.72,4.14
"2970",5.58,2.08,1.28
"2971",5.34,5.82,4.78
"2972",4,5.48,4.8
"2973",6.38,5.64,9.66
"2974",3.78,2.2,6.7
"2975",1.94,1.96,5.3
"2976",1.84,4.36,5.66
"2977",2.92,8.08,5.14
"2978",7.08,4.88,7.06
"2979",2.6,4.7,7.48
"2980",0.42,1.16,4.58
"2981",7.56,2.08,4.58
"2982",1.86,4.38,8.62
"2983",2.7,3.8,2.56
"2984",4.1,5.36,2.84
"2985",3.14,0.74,5.66
"2986",2.64,1.62,8.22
"2987",0.4,1.74,2.44
"2988",4.92,1.4,9.98
"2989",1.7,7.32,3.94
"2990",4.68,5.98,4.46
"2991",2.12,3.56,8.66
"2992",1.36,1.32,3.98
"2993",1.58,2.14,2.88
"2994",12.06,4.04,5.58
"2995",0.6,3.82,10.88
"2996",4.68,2.68,1.82
"2997",4.9,5.38,4.68
"2998",7.92,6.7,2.18
"2999",0.18,2.28,4.88
"3000",3.06,3.08,5.02
"3001",9.06,1.22,4.18
"3002",1.2,5.74,2.96
"3003",8.66,3.48,1.9
"3004",1.08,2.02,6.04
"3005",0.7,11.34,2.6
"3006",6.22,1.36,3.34
"3007",2.12,2.8,8.4
"3008",0.86,2.94,4.82
"3009",8.94,4,8.48
"3010",0.68,2.12,6.68
"3011",4.1,3.7,5.02
"3012",1.8,4.4,3.32
"3013",1.3,8.62,4.38
"3014",3.96,3.32,4.18
"3015",2.86,2.18,2.24
"3016",2.02,0.92,3.56
"3017",1.18,5.1,2.7
"3018",1,1.5,5.88
"3019",4.56,2.76,7
"3020",2.1,6.24,2.62
"3021",2.42,6.22,3.12
"3022",3.44,0.78,0.16
"3023",2.36,2.4,9.06
"3024",1.48,10.38,6.96
"3025",7.14,3.12,4.44
"3026",2.48,0.44,2.12
"3027",3.72,2.04,4.88
"3028",2.92,6.48,3.94
"3029",3.64,2.24,2.94
"3030",4.92,1.94,6.3
"3031",1.56,5.08,2.52
"3032",0.94,1.26,2.88
"3033",1.6,1.24,2.74
"3034",2.26,8.6,11.12
"3035",1.2,6.88,8.18
"3036",0.72,0.84,7.04
"3037",2.54,1.18,6.54
"3038",4.56,2.94,2.38
"3039",1.92,2.54,1.7
"3040",6,1.3,4.14
"3041",1.64,0.86,6.48
"3042",0.44,2.52,5.82
"3043",3.96,11.66,8.6
"3044",3.6,1.2,1.68
"3045",1.46,4.88,4.28
"3046",2.14,1.96,3.44
"3047",0.7,5,8.68
"3048",2.32,0.52,4.44
"3049",1.18,6.04,7.08
"3050",2.96,1.04,3.72
"3051",4.86,2.78,5.04
"3052",3.42,0.6,11.46
"3053",1.9,2.6,4
"3054",3.4,4.44,8.62
"3055",4.42,3.98,3.44
"3056",3.7,7.14,3.52
"3057",0.92,6.32,1.74
"3058",6.44,1.86,3.74
"3059",2.34,2.94,2.94
"3060",1.24,1.52,2.22
"3061",9.38,1.56,2.52
"3062",2.76,6.28,6.48
"3063",4.4,2.56,4.44
"3064",4.3,0.54,0.56
"3065",6.66,12.94,5.9
"3066",1.3,4.94,6.96
"3067",2.8,9.38,5.96
"3068",0.98,4.12,8.1
"3069",1.08,2.44,8.98
"3070",0.5,3.6,4.9
"3071",2.04,2.22,5.42
"3072",6.14,3.64,2.12
"3073",0.66,6.24,3.68
"3074",4.34,5.18,6.28
"3075",4.58,1.58,4.88
"3076",2.72,2.24,1.88
"3077",3.88,4.84,3.02
"3078",4.34,1.98,4.94
"3079",2.7,4.92,4.48
"3080",1.64,0.4,7.78
"3081",2.6,0.94,6.22
"3082",1.64,2.92,3.26
